Date,BP us dollar of the day,US Domestic Oil Price (US $) PET_F000000__3_A,U.S. Landed Costs of Saudi Arabian Light Crude Oil isa4990008a,BP Arabian Light posted at Ras Tanura.,Crude Oil Prices: Brent – Europe  ACOILBRENTEU,Crude Oil Prices: West Texas Intermediate (WTI)  ACOILWTICO, Imported Crude Oil Price (refiner average imported crude oil acquisition cost) (PET.R1300____3.A),"U.S. Crude Oil Domestic Acquisition Cost by Refiners, Annual (PET.R1200____3.A)",Dubai Crude Oil Price opendataforafrica.org/IMFPCP2014Jan
1941,1.14,1.14,,,,,,,
1942,1.19,1.19,,,,,,,
1943,1.2,1.2,,,,,,,
1944,1.21,1.21,,,,,,,
1945,1.05,1.22,,1.05,,,,,
1946,1.12,1.41,,1.12,,,,,
1947,1.9,1.93,,1.9,,,,,
1948,1.99,2.6,,1.99,,,,,
1949,1.78,2.54,,1.78,,,,,
1950,1.71,2.51,,1.71,,,,,
1951,1.71,2.53,,1.71,,,,,
1952,1.71,2.53,,1.71,,,,,
1953,1.93,2.68,,1.93,,,,,
1954,1.93,2.78,,1.93,,,,,
1955,1.93,2.77,,1.93,,,,,
1956,1.93,2.79,,1.93,,,,,
1957,1.9,3.09,,1.9,,,,,
1958,2.08,3.01,,2.08,,,,,
1959,2.08,2.9,,2.08,,,,,
1960,1.9,2.88,,1.9,,,,,
1961,1.8,2.89,,1.8,,,,,
1962,1.8,2.9,,1.8,,,,,
1963,1.8,2.89,,1.8,,,,,
1964,1.8,2.88,,1.8,,,,,
1965,1.8,2.86,,1.8,,,,,
1966,1.8,2.88,,1.8,,,,,
1967,1.8,2.92,,1.8,,,,,
1968,1.8,2.94,,1.8,,,2.9,3.21,
1969,1.8,3.09,,1.8,,,2.8,3.37,
1970,1.8,3.18,,1.8,,,2.96,3.46,
1971,2.24,3.39,,2.24,,,3.17,3.68,
1972,2.48,3.39,,2.48,,,3.22,3.67,
1973,3.29,3.89,,3.29,,,4.08,4.17,
1974,11.58,6.87,,11.58,,,12.52,7.18,
1975,11.53,7.67,,11.53,,,13.93,8.39,
1976,12.8,8.19,,12.8,,,13.48,8.84,
1977,13.92,8.57,,13.92,,,14.53,9.55,
1978,14.02,9,14.04,14.02,,,14.57,10.61,
1979,31.61,12.64,19.18,31.61,,,21.67,14.27,
1980,36.83,21.59,29.57,36.83,,,33.89,24.23,35.85
1981,35.93,31.77,34.32,35.93,,,37.05,34.33,34.29
1982,32.97,28.52,35.65,32.97,,,33.55,31.22,31.76
1983,29.55,26.19,30.95,29.55,,,29.3,28.87,28.47
1984,28.78,25.88,30.61,,,,28.88,28.53,27.51
1985,27.56,24.09,25.35,,,,26.99,26.66,26.51
1986,14.43,12.51,13.06,,,15.05,14,14.82,13.06
1987,18.44,15.4,17.88,,18.53,19.2,18.13,17.76,16.96
1988,14.92,12.58,14.04,,14.91,15.97,14.56,14.74,13.36
1989,18.23,15.86,17.96,,18.23,19.64,18.08,17.87,15.78
1990,23.73,20.03,22.49,,23.76,24.53,21.76,22.59,20.73
1991,20,16.54,18.49,,20.04,21.54,18.7,19.33,16.61
1992,19.32,15.99,18.54,,19.32,20.58,18.2,18.63,17.14
1993,16.97,14.25,16.62,,17.01,18.43,16.14,16.67,14.91
1994,15.82,13.19,15.83,,15.86,17.2,15.51,15.67,14.83
1995,17.02,14.62,17.17,,17.02,18.43,17.14,17.33,16.13
1996,20.67,18.46,20.86,,20.64,22.12,20.64,20.77,18.54
1997,19.09,17.23,18.11,,19.11,20.61,18.53,19.61,18.1
1998,12.72,10.87,12.36,,12.76,14.42,12.04,13.18,12.09
1999,17.97,15.56,18.03,,17.9,19.34,17.26,17.9,17.08
2000,28.5,26.72,27.54,,28.66,30.38,27.7,29.11,26.09
2001,24.44,21.84,21.64,,24.46,25.98,22,24.33,22.71
2002,25.02,22.51,25.01,,24.99,26.18,23.71,24.65,23.73
2003,28.83,27.56,28.25,,28.85,31.08,27.71,29.82,26.73
2004,38.27,36.77,38.01,,38.26,41.51,35.9,38.97,33.46
2005,54.52,50.28,52.92,,54.57,56.64,48.86,52.94,49.2
2006,65.14,59.69,60.51,,65.16,66.05,59.02,62.62,61.43
2007,72.39,66.52,71.62,,72.44,72.34,67.04,69.65,68.37
2008,97.26,94.04,94.38,,96.94,99.67,92.77,98.47,93.78
2009,61.67,56.35,63.1,,61.74,61.95,59.17,59.49,61.76
2010,79.5,74.71,79.65,,79.61,79.48,75.86,78.01,78.06
2011,111.26,95.73,109.43,,111.26,94.88,102.63,100.71,106.03
2012,111.67,94.52,108.93,,111.63,94.05,101.09,100.72,108.92
2013,108.66,95.99,103.44,,108.56,97.98,98.11,102.91,105.43
2014,98.95,87.39,96.83,,98.97,93.22,89.56,94.05,96.66
